Spins BJ Hidden Embedding alpha
10 10 8 4 0.6 
10 10 4 4 0.5142857142857142 
10 10 4 16 0.45714285714285713 
10 10 4 32 0.42857142857142855 
10 10 8 4 0.6571428571428571 
10 10 16 4 0.45714285714285713 
10 10 32 4 0.5714285714285714 
10 20 4 4 0.6571428571428571 
10 20 8 4 0.5428571428571428 
10 20 16 4 0.37142857142857144 
10 20 32 4 0.5428571428571428 
10 30 4 4 0.42857142857142855 
10 30 8 4 0.5714285714285714 
10 30 16 4 0.5142857142857142 
10 30 32 4 0.45714285714285713 
10 50 4 4 0.5714285714285714 
10 50 8 4 0.4857142857142857 
10 50 16 4 0.5142857142857142 
10 50 32 4 0.42857142857142855 
10 10 8 1 0.42857142857142855 
10 10 8 2 0.42857142857142855 
10 10 8 3 0.4857142857142857 
10 10 8 4 0.5428571428571428 
10 10 8 5 0.4857142857142857 
10 10 8 6 0.5428571428571428 
10 10 8 7 0.34285714285714286 
10 10 8 8 0.6571428571428571 
10 10 8 9 0.5142857142857142 
10 10 8 10 0.4 
10 20 8 1 0.5142857142857142 
10 20 8 2 0.5142857142857142 
10 20 8 3 0.5714285714285714 
10 20 8 4 0.6285714285714286 
10 20 8 5 0.6571428571428571 
10 20 8 6 0.6571428571428571 
10 20 8 7 0.6 
10 20 8 8 0.5142857142857142 
10 20 8 9 0.6857142857142857 
10 20 8 10 0.42857142857142855 
10 30 8 1 0.5142857142857142 
10 30 8 2 0.5428571428571428 
10 30 8 3 0.6857142857142857 
10 30 8 4 0.5142857142857142 
10 30 8 5 0.45714285714285713 
10 30 8 6 0.37142857142857144 
10 30 8 7 0.4857142857142857 
10 30 8 8 0.3142857142857143 
10 30 8 9 0.6 
10 30 8 10 0.6285714285714286 
10 50 8 1 0.4857142857142857 
10 50 8 2 0.5714285714285714 
10 50 8 3 0.4857142857142857 
10 50 8 4 0.42857142857142855 
10 50 8 5 0.5142857142857142 
10 50 8 6 0.4857142857142857 
10 50 8 7 0.6 
10 50 8 8 0.5142857142857142 
10 50 8 9 0.4 
10 50 8 10 0.5428571428571428 
20 10 8 4 0.4444444444444444 
20 20 8 4 0.5681818181818182 
20 20 8 4 0.5227272727272727 
20 30 8 4 0.4 
20 50 8 4 0.6222222222222222 
30 10 8 4 0.6136363636363636 
30 20 8 4 0.5227272727272727 
30 30 8 4 0.45454545454545453 
30 50 8 4 0.45454545454545453 
